# Generated from the GREAT3 COSMOS sample with the following cuts:
# min_mask_dist_pixels in top 95%
# average_mask_adjacent_pixel_count in bottom 95% (these cuts remove bad masking cases)
# 'FIT_STATUS'[:,4] is not 0 or 5 (a Sersic fit failure)
# size < exp(5), which cuts out one anomalously large point remaining after previous cuts
size   N_z_div_sum_N
0.0106 1.000
0.0257 0.999
0.0408 0.994
0.0533 0.990
0.0571 0.982
0.0673 0.975
0.0775 0.963
0.0951 0.944
0.1126 0.921
0.1203 0.899
0.1186 0.865
0.1460 0.839
0.1735 0.805
0.1908 0.769
0.1919 0.735
0.2007 0.697
0.2172 0.655
0.2201 0.614
0.2148 0.582
0.2444 0.550
0.2740 0.498
0.2864 0.459
0.2929 0.432
0.3068 0.405
0.3173 0.385
0.3273 0.367
0.3373 0.338
0.3608 0.321
0.3640 0.308
0.3827 0.287
0.3833 0.269
0.4024 0.248
0.4131 0.234
0.4283 0.217
0.4529 0.206
0.3411 0.195
0.4094 0.182
0.4776 0.174
0.5022 0.167
0.5087 0.150
0.4887 0.139
0.5164 0.128
0.5440 0.124
0.5172 0.121
0.5595 0.119
0.6017 0.110
0.6037 0.104
0.6057 0.101
0.6176 0.096
0.6208 0.094
0.6574 0.082
0.6595 0.077
0.6614 0.072
0.6761 0.071
0.6804 0.066
0.6701 0.065
0.7006 0.062
0.7311 0.060
0.7441 0.058
0.7558 0.054
0.7720 0.053
0.7850 0.052
0.7872 0.043
0.8083 0.041
0.8202 0.040
0.8321 0.037
0.8546 0.036
0.8570 0.034
0.8705 0.032
0.8840 0.032
0.8789 0.030
0.8996 0.028
0.9203 0.025
0.9315 0.023
0.9515 0.022
0.9631 0.020
0.9747 0.020
0.9889 0.019
1.0030 0.019
1.0172 0.019
1.0313 0.019
1.0454 0.019
1.0575 0.018
1.0696 0.018
1.0817 0.018
1.0938 0.018
1.1059 0.018
1.1180 0.018
1.1300 0.018
1.1421 0.018
1.1542 0.018
1.1663 0.018
1.1729 0.017
1.2910 0.016
1.4091 0.016
1.5272 0.016
1.6453 0.016
1.7634 0.016
1.5129 0.016
1.3932 0.014
1.3388 0.013
1.3170 0.013
1.3129 0.013
1.3176 0.012
1.3223 0.012
1.3357 0.012
